0,288187,69418
1,3141875,66798
2,8564412,49421
3,16555798,47059
4,27116033,45542
5,40245117,47850
6,55943050,48460
7,74209832,52070
8,95045463,67029
9,118449943,49274
10,144423272,57203
11,172965450,67273
12,204076477,67769
13,237756353,65321
14,274005078,54211
15,312822652,62928
16,354209075,61859
17,398164347,66126
18,444688468,56988
19,493781438,54070
20,545443257,54539
21,599673925,57720
22,656473442,58684
23,715841808,60399
24,777779023,62559
25,842285087,55269
26,909360000,67383
27,979003762,62022
28,1051216373,64560
29,1125997833,63473
30,1203348142,58643
31,1283267300,56550
32,1365755307,50429
33,1450812163,49706
34,1538437868,62078
35,1628632422,61916
36,1721395825,56978
37,1816728077,67857
38,1914629178,57153
39,2015099128,59005
40,2118137927,50597
41,-2071221721,52280
42,-1963045224,61385
43,-1852299878,57187
44,-1738985683,60026
45,-1623102639,51373
46,-1504650746,57951
47,-1383630004,68338
48,-1260040413,56367
49,-1133881973,59564
50,-1005154684,59032
51,-873858546,64969
52,-739993559,57264
53,-603559723,66071
54,-464557038,43460
55,-322985504,53853
56,-178845121,57867
57,-32135889,57964
58,117142192,55928
59,268989122,66005
60,423404901,61351
61,580389529,71792
62,739943006,49922
63,902065332,59750
64,1066756507,58106
65,1234016531,60429
66,1403845404,61622
67,1576243126,66294
68,1751209697,63331
69,1928745117,57170
70,2108849386,60968
71,-2003444792,67424
72,-1818202825,48820
73,-1630392009,61634
74,-1440012344,49790
75,-1247063830,49351
76,-1051546467,66003
77,-853460255,56483
78,-652805194,67272
79,-449581284,51901
80,-243788525,55626
81,-35426917,60003
82,175503540,72030
83,389002846,57424
84,605071001,54708
85,823708005,61549
86,1044913858,58400
87,1268688560,55224
88,1495032111,54019
89,1723944511,50374
90,1955425760,60904
91,-2105491438,57103
92,-1868872491,65951
93,-1629684695,60842
94,-1387928050,47847
95,-1143602556,53971
96,-896708213,72282
97,-647245021,55119
98,-395212980,66688
99,-140612090,53273
100,116557649,48655
101,376296237,61317
102,638603674,62197
103,903479960,60412
104,1170925095,62007
105,1440939079,66522
106,1713521912,66609
107,1988673594,61443
108,-2028573171,51132
109,-1748283791,56012
110,-1465425562,57180
111,-1179998484,61632
112,-892002557,66959
113,-601437781,66293
114,-308304156,61926
115,-12601682,61052
116,285669641,59854
117,586509813,48469
118,889918834,66997
119,1195896704,57088
120,1504443423,62905
121,1815558991,63129
122,2129243408,56641
123,-1849470622,59338
124,-1530648507,62809
125,-1209257543,59300
126,-885297730,59301
127,-558769068,66827
128,-229671557,59683
129,101994803,60567
130,436230012,49676
131,773034070,59632
132,1112406977,63716
133,1454348733,54632
134,1798859338,56907
135,2145938792,65345
136,-1799380201,65407
137,-1447163049,59732
138,-1092377048,56835
139,-735022198,62558
140,-375098499,60343
141,-12605951,60144
142,352455446,67037
143,720085692,47628
144,1090284787,52741
145,1463052731,60856
146,1838389524,57210
147,-2078672130,66432
148,-1698197639,56044
149,-1315154299,49445
150,-929542110,66241
151,-541361072,58034
152,-150611185,54520
153,242707551,54117
154,638595136,62214
155,1037051570,65614
156,1438076853,61543
157,1841670985,62789
158,-2047133330,61529
159,-1638401500,57867
160,-1227100821,56806
161,-813231293,56789
162,-396792916,62617
163,22214310,62223
164,443790385,57559
165,867935309,57938
166,1294649082,74286
167,1723931704,52300
168,-2139184121,50750
169,-1704763801,60784
170,-1267774632,52581
171,-828216614,67326
172,-386089747,54502
173,58605969,53440
174,505870534,65797
175,955703948,61041
176,1408106211,61287
177,1863077323,63169
178,-1974350012,52048
179,-1514241202,55905
180,-1051563543,61204
181,-586317035,51646
182,-118501678,52993
183,351882528,71208
184,824835583,55268
185,1300357487,66254
186,1778448240,61097
187,-2035859454,59675
188,-1552631003,56839
189,-1066833703,61787
190,-578467554,67765
191,-87532556,49520
192,405971291,49721
193,902043987,53214
194,1400685532,61246
195,1901895926,59228
196,-1889292127,55584
197,-1382944035,64988
198,-874027094,51631
199,-362541304,61780
200,151513335,61199
201,668136823,62364
202,1187329160,67739
203,1709090346,52709
204,-2061546915,63583
205,-1534648031,71102
206,-1005180298,65878
207,-473143716,52492
208,61461715,52532
209,598635995,56206
210,1138379124,66715
211,1680691102,56714
212,-2069395367,60879
213,-1521945691,61488
214,-971927166,62162
215,-419339792,67463
216,135816431,61475
217,693541503,66713
218,1253835424,58384
219,1816698194,60312
220,-1912837483,49708
221,-1344837015,67279
222,-774267698,51174
223,-201129532,59526
224,374577483,60754
225,952853347,53924
226,1533698060,50857
227,2117111622,62418
228,-1591873263,65751
229,-1003322003,63958
230,-412201894,51973
231,181487064,54301
232,777744871,62845
233,1376571527,65951
234,1977967032,71684
235,-1713035910,67104
236,-1106502707,53647
237,-497400655,67379
238,114270246,61618
239,728509996,59502
240,1345318595,59261
